Status,Event_Date,Start_Time,End_Time,Type,Description,Borough,LocationofEvent,EventAddress,ActualParticipants,Postcode,Latitude,Longitude,CommunityBoard,CouncilDistrict ,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Completed (59),1/19/2016,11:00 AM,1:59 PM,RNY General Presentation (GEN),Winter Storm,Bronx,Thomas Guess Senior Center,2070 Clinton Avenue,32,10457,40.847236,-73.888101,206,15,2012652,2030940014,371,BX0602
Completed (59),1/19/2016,9:30 AM,10:30 AM,RNY General Presentation (GEN),PTA Emergency Preparedness,Brooklyn,PS 247,7000 21st Ave,30,11204,40.612273,-73.986713,311,43,3157466,3061740036,258,BK1101
Completed (59),1/19/2016,9:00 AM,11:30 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 68,59-09 St Felix Ave,650,11385,40.696556,-73.897405,405,30,4437837,4035790001,557,QN0502
Completed (59),1/19/2016,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,Cooper Union,7 E 7 St,252,10003,40.728986,-73.990486,103,2,1008788,1005440076,42,MN0303
Completed (59),1/19/2016,7:00 PM,9:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Queens,Queens Gateway to Health Sciences Secondary School,160-20 Goethals Ave,130,11432,40.718831,-73.806499,408,24,4539721,4068580050,1267,QN0802
Completed (59),1/19/2016,6:00 PM,9:00 PM,RNY Fair (FAIR),Parent Education Fair,Manhattan,PS 124,40 Division Street,50,10002,40.714182,-73.995451,103,1,1075787,1002890001,16,MN0301
Completed (59),1/20/2016,11:00 AM,12:59 PM,RNY General Presentation (GEN),Winter Storm Prep,Queens,Alpha Phi Alpha Senior Center,220-01 Linden Boulevard,40,11411,40.695105,-73.740004,413,27,4244354,4113210006,596,QN1304
Completed (59),1/20/2016,6:00 PM,7:30 PM,RNY General Presentation (GEN),PTA Meeting,Queens,Jamaica Gateway to the Sciences,167-01 Gothic Drive,10,11432,40.713218,-73.797237,408,24,4448806,4098580100,452,QN0805
Completed (59),1/20/2016,9:00 AM,11:00 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 239 Q,17-15 Weirfield Street,650,11385,40.699149,-73.903799,405,34,4435561,4035610001,553,QN0502
Completed (59),1/20/2016,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,PS 245,249 E 17 St,150,11226,40.645016,-73.963208,314,40,3117584,3051210032,512,BK1401
Completed (59),1/21/2016,10:00 AM,11:59 AM,RNY General Presentation (GEN),Winter Storm Prep,Bronx,James Monroe Senior Center,1776 Story Avenue,36,10473,40.82324,-73.86596,209,18,2092748,2036370001,42,BX0902
Completed (59),1/21/2016,10:00 AM,2:00 PM,RNY Fair (FAIR),Town Hall Meeting,Brooklyn,PS 210K MS 394K,188 Rochester Ave,100,11213,40.672762,-73.927973,308,36,3036289,3013670022,347,BK0802
Completed (59),1/23/2016,9:00 AM,2:00 PM,RNY Fair (FAIR),Key to the City,Brooklyn,PS 24,427 38th STreet,150,11232,40.652701,-74.004743,307,38,3346119,3007010001,84,BK0702
Completed (59),1/25/2016,10:00 AM,11:59 AM,RNY General Presentation (GEN),Winter Storm Prep,Brooklyn,Los Sures David Santiago Senior Center,201 South 4 Street,12,11211,40.710881,-73.96016,301,34,3321304,3024320025,523,BK0102
Completed (59),1/25/2016,2:00 PM,3:00 PM,RNY Business (B),Business Resiliency Workshop China Town,Manhattan,American Legion Lt. B.R. Kimlau Post 1291,191 Canal St,10,10013,40.71694,-73.998099,102,1,1002646,1002050032,41,MN0201
Completed (59),1/26/2016,10:15 AM,11:30 AM,RNY General Presentation (GEN),YMCA Welcome Center Spanish Presentation,Staten Island,YMCA New Americans Welcome Center,120 Anderson Avenue,18,10302,40.634927,-74.134422,501,49,5024253,5010360019,213,SI0106
Completed (59),1/26/2016,8:30 AM,10:45 AM,RNY for Kids (KIDS),Ready NY for Tweens,Bronx,MS 127,1560 Purdy St,750,10462,40.837931,-73.853524,209,18,2041247,2039480055,222,BX0904
Completed (59),1/26/2016,7:00 PM,9:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,Memorial Sloan Kettering,430 E 67 St,200,10065,40.764263,-73.957515,108,5,1045570,1014610013,116,MN0801
Completed (59),1/26/2016,5:00 PM,7:00 PM,RNY Fair (FAIR),The Finest Hour Premier,Manhattan,Regal E-Walk,247 W 42 St,250,10036,40.756845,-73.988843,105,3,1087142,1010140001,119,MN0502
Completed (59),1/26/2016,2:00 PM,3:00 PM,RNY Business (B),Business Resiliency Workshop Brighton Beach,Brooklyn,Shorefront YMCA,3300 Coney Island Ave,10,11235,40.575566,-73.95946,313,48,3326880,3086930001,36002,BK1303
Completed (59),1/27/2016,7:30 PM,8:30 PM,RNY General Presentation (GEN),Civic Association Meeting,Bronx,Villa Marie Academy Civic Association,3335 Country Club Rd,20,10465,40.841156,-73.817166,210,13,2087429,2054090475,27402,BX1003
Completed (59),1/27/2016,8:30 AM,10:30 AM,RNY General Presentation (GEN),PS 62 Q,Queens,PS 62 Q,97-25 108 St,40,11419,40.688577,-73.836162,409,29,4197909,4094100001,110,QN0903
Completed (59),1/27/2016,9:00 AM,11:00 AM,RNY for Kids (KIDS),Youth Preparedness,Brooklyn,PS 274,800 Bushwick Ave,500,11221,40.694921,-73.927931,304,34,3073752,3032410037,393,BK0401
Completed (59),1/28/2016,11:00 AM,12:59 PM,RNY General Presentation (GEN),Winter Storm Prep,Brooklyn,Bay Ridge Senior Center,6935 Fourth Avenue,53,11209,40.634372,-74.023606,310,47,3145723,3058730001,130,BK1001
Completed (59),1/28/2016,6:00 PM,7:00 PM,NYCEM 101 (NYCEM),Lessons from Recovery: The Great East Japan Earthquake of 2011,Manhattan,The Nippon Gallery at the Nippon Club,145 W 57 St,35,10019,40.764966,-73.978708,105,6,1023723,1010107503,137,MN0502
Completed (59),1/29/2016,12:00 PM,1:00 PM,RNY General Presentation (GEN),College Preparedness,Manhattan,The American Academy of Dramatic Arts,120 Madison Ave,10,10016,40.745402,-73.984691,105,2,1016957,1008600016,74,MN0501
Completed (59),1/29/2016,9:00 AM,11:00 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 174,65-10 Dieterle Crescent,200,11374,40.720924,-73.86135,406,30,4073904,4031340024,69702,QN0601
Completed (59),1/30/2016,11:00 AM,4:00 PM,RNY Fair (FAIR),Animal Preparedness,Queens,PETCO,7507 31st Ave,100,11370,40.758577,-73.89235,403,25,4439601,4011240001,30903,QN0301
Completed (59),1/31/2016,12:00 PM,3:00 PM,RNY Fair (FAIR),Staten Island Open House,Staten Island,Staten Island Open House,10 Richmond Terrace #2,80,10301,40.642367,-74.075274,501,49,5000063,5000070001,3,SI0101
Completed (59),2/1/2016,2:30 PM,4:30 PM,RNY General Presentation (GEN),Ready NY for Staff,Brooklyn,PS 102,211-72 St.,100,,,,,,,,,
Completed (59),2/1/2016,2:45 PM,5:00 PM,RNY General Presentation (GEN),Emergency Preparedness,Manhattan,96 St Transverse in Central Park,96 St Transverse in Central Park,70,10000,40.78237,-73.965238,164,6,1000000,1011110001,143,MN6491
Completed (59),2/1/2016,6:00 PM,8:59 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Manhattan,Literacy Partners Headquarters,"75 Maiden Lane, Suite 1102",15,10038,40.707657,-74.007758,101,1,1001112,1000680011,1502,MN0101
Completed (59),2/1/2016,6:00 PM,8:00 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Manhattan,Literacy Partners Headquarters,"75 Maiden Lane, Suite 1102",15,10038,40.707657,-74.007758,101,1,1001112,1000680011,1502,MN0101
Completed (59),2/1/2016,9:00 AM,11:00 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 85,23-70 31st Street,650,11105,40.772932,-73.914625,401,22,4017485,4008420031,115,QN0101
Completed (59),2/2/2016,10:00 AM,11:59 AM,RNY General Presentation (GEN),Winter Storm Prep,Manhattan,East Harlem Senior Center,150 East 121 Street,23,10035,40.801704,-73.939037,111,8,1054378,1017690021,196,MN1102
Completed (59),2/2/2016,2:30 PM,3:30 PM,RNY General Presentation (GEN),PTA Preparedness Meeting,Queens,PS 194 Q,93-11 34th Avenue,25,11372,40.754837,-73.874605,403,25,4035441,4014410015,27302,QN0301
Completed (59),2/2/2016,7:30 PM,8:30 PM,RNY General Presentation (GEN),Emergency Preparedness,Manhattan,Brown Harris Stevens Residential Management,315 East 72nd Street,30,10021,40.768454,-73.957519,108,5,1044878,1014470009,12601,MN0801
Completed (59),2/3/2016,12:00 PM,1:00 PM,RNY General Presentation (GEN),Emergency Preparedness,Queens,Independence Residences,112-40 Francis Lewis Blvd,50,11429,40.703416,-73.749479,412,27,4448898,4109820188,532,QN1205
Completed (59),2/3/2016,8:45 AM,10:15 AM,RNY for Kids (KIDS),Youth Preparedness,Brooklyn,PS 7,858 Jamaica Ave,500,11208,40.689697,-73.873109,305,37,3090998,3041060039,118201,BK0501
Completed (59),2/3/2016,1:30 PM,2:30 PM,RNY for Kids (KIDS),Ready NY for Teens,Brooklyn,Youth Stand United,2673 Atlantic Avenue,20,11207,40.67585,-73.895573,305,37,3083319,3036710042,1198,BK0502
Completed (59),2/4/2016,8:45 AM,10:30 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS MS 147 Q,218-01 116th Ave,440,11411,40.697309,-73.740948,413,27,4243743,4113000001,598,QN1304
Completed (59),2/6/2016,10:00 AM,3:00 PM,RNY Fair (FAIR),NYCHA Leadership Conference,Queens,Queensbridge Community Center,10-05 41st Ave,70,11101,40.755636,-73.945613,401,26,4595584,4004700100,25,QN0105
Completed (59),2/6/2016,11:00 AM,3:00 PM,RNY Fair (FAIR),6th Annual Health Day,Manhattan,City College Academy of the Arts,4600 Broadway,100,10040,40.860806,-73.930661,112,10,1076756,1021720016,285,MN1202
Completed (59),2/6/2016,11:00 AM,3:00 PM,RNY Fair (FAIR),NYC's Biggest Fair for Young People with Disabilities and Their Families,Manhattan,Hotel Pennsylvania,"402 Seventh Ave, 18th Floor",750,10121,40.749858,-73.991464,105,3,1083026,1007810002,101,MN0501
Completed (59),2/9/2016,10:30 AM,11:59 AM,RNY General Presentation (GEN),Winter Storm Prep,Queens,Hanac Angelo Petromalis Senior Center,13-28 1123 Street,14,,,,,,,,,
Completed (59),2/9/2016,8:45 AM,11:45 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 270 Q,233-15 Merrick Blvd,470,11422,40.674831,-73.736713,413,31,4529511,4129730001,618,QN1305
Completed (59),2/10/2016,9:00 AM,10:00 AM,RNY for Kids (KIDS),Ready Girl,Bronx,Heketi Community Charter School,403 Concord Ave,100,10454,40.809117,-73.909582,201,8,2003866,2025730087,35,BX0101
Completed (59),2/10/2016,1:00 PM,2:00 PM,RNY for Kids (KIDS),Ready NY for Teens,Bronx,South Bronx Overall Economic Corporation,669 Lenox Ave,30,,,,,,,,,
Completed (59),2/11/2016,8:30 AM,9:30 AM,RNY General Presentation (GEN),General Ready NY,Brooklyn,PS/IS 262,500 Macon Street,15,11233,40.683241,-73.930813,303,36,3046876,3016710019,297,BK0302
Completed (59),2/11/2016,8:30 AM,11:30 AM,RNY for Kids (KIDS),Annual Health Fair,Brooklyn,PS771K,845 East 96th Street,40,11236,40.64883,-73.907774,318,42,3325418,3081290060,970,BK1803
Completed (59),2/12/2016,2:30 PM,4:00 PM,RNY for Kids (KIDS),Ready NY for Girl Scouts,Staten Island,Girl Scout Troop,22 Steele Ave,53,10306,40.57633,-74.117965,502,50,5107549,5036260013,122,SI0202
Completed (59),2/12/2016,9:00 AM,10:00 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 327,111 Bristol St.,200,11212,40.668475,-73.912351,316,41,3081032,3035200008,924,BK1602
Completed (59),2/13/2016,10:00 AM,3:00 PM,RNY Fair (FAIR),Westminster Dog Show - Meet the Breeds,Manhattan,Pier 92,711 12th Ave,100,10019,40.767496,-73.996267,104,3,1087587,1011090030,13501,MN0402
Completed (59),2/16/2016,3:00 PM,4:00 PM,RNY for Kids (KIDS),Youth Preparedness,Brooklyn,Shorefront Y,3300 Coney Island Avenue,60,11235,40.575566,-73.95946,313,48,3326880,3086930001,36002,BK1303
Completed (59),2/16/2016,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,St Martin de Porres Parish - McGuiness Hall,163 McDonough St,75,11216,40.681498,-73.939594,303,36,3335289,3018530001,273,BK0302
Completed (59),2/17/2016,1:00 PM,2:30 PM,RNY General Presentation (GEN),Winter Storm Prep,Brooklyn,Grace Agard Harewood,966 Fulton Street,80,11238,40.682487,-73.962178,302,35,3057638,3020140026,201,BK0204
Completed (59),2/19/2016,4:00 PM,5:00 PM,RNY General Presentation (GEN),Safety at the Workplace,Brooklyn,EBrooklyn Media,16 Court Street 30th Floor,20,11241,40.693445,-73.990577,302,33,3002108,3002500044,9,BK0201
Completed (59),2/19/2016,5:30 PM,7:00 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Queens,Flushing YMCA New Americans Welcome Center,138-46 Northern Blvd,45,11354,40.764119,-73.827142,407,20,4113292,4050100038,865,QN0707
Completed (59),2/20/2016,11:00 AM,4:00 PM,RNY Fair (FAIR),Ready Girl,Manhattan,Intrepid Museum,One Intrepid Square,500,,,,,,,,,
Completed (59),2/20/2016,11:00 AM,4:00 PM,RNY Fair (FAIR),Chinese NEw Year Temple Bazaar,Queens,Flushing Town Hall,137-35 Northern Blvd.,250,11354,40.763478,-73.829992,407,20,4112147,4049600001,869,QN0707
Completed (59),2/22/2016,6:30 PM,8:30 PM,RNY General Presentation (GEN),General Board Meeting CB 13,Queens,Bellerose Assembly of God,240-15 Hillside Ave,125,,,,,,,,,
Completed (59),2/22/2016,9:00 AM,10:30 AM,RNY General Presentation (GEN),RNY ESOL Conversation Class Presentation,Queens,Queens Community House,108-25 62nd drive,15,11375,40.73591,-73.850212,406,24,4432108,4021590015,745,QN0602
Completed (59),2/23/2016,11:00 AM,12:59 PM,RNY General Presentation (GEN),Winter Storm prep,Bronx,Casa Boricua Senior Center,910 East 172 Streeet,20,,,,,,,,,
Completed (59),2/23/2016,9:00 AM,10:00 AM,RNY General Presentation (GEN),Emergency Preparedness,Queens,PS 21,147-36 26th Avenue,22,11354,40.774512,-73.819284,407,19,4108665,4048030001,1047,QN0704
Completed (59),2/23/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready NY for Pre-K,Brooklyn,Little Brooklyn Pre-K Center,211 8th St.,45,11215,40.670764,-73.987787,306,39,3021840,3009980001,137,BK0602
Completed (59),2/24/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready NY for Pre-K,Bronx,PS 535,2512 Marion Avenue,60,10458,40.861316,-73.893236,205,15,2118012,2030260014,39902,BX0503
Completed (59),2/24/2016,11:30 AM,1:30 PM,RNY Fair (FAIR),Internal Risk and Preparedness Fair,Manhattan,AIG,175 Water Street,85,10038,40.706699,-74.005208,101,1,1001137,1000717501,1502,MN0101
Completed (59),2/25/2016,1:30 PM,2:59 PM,RNY General Presentation (GEN),Winter Storm Prep,Bronx,Harmony Adult Day Care,367 East 154 Street,24,10455,40.819819,-73.917303,201,17,2116903,2024017501,67,BX0102
Completed (59),2/25/2016,6:00 PM,9:00 PM,RNY General Presentation (GEN),General Ready Presentation,Manhattan,Metropolitan Building Managers of NY,1584 York Ave,50,10028,40.774291,-73.948309,108,5,1051181,1015800004,13604,MN0803
Completed (59),2/25/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 229,67-25 51st Road,140,11377,40.734294,-73.897557,405,30,4440274,4024230001,513,QN0501
Completed (59),2/26/2016,3:00 PM,4:30 PM,RNY for Kids (KIDS),Ready NY for Girl Scouts,Staten Island,Gir Scout Troop Meeting,250 Kramer Ave,65,10309,40.542246,-74.214002,503,51,5128148,5070440001,20805,SI0303
Completed (59),2/29/2016,5:30 PM,7:00 PM,RNY General Presentation (GEN),Emergency Preparedness- What You Need to Know,Brooklyn,PS 203,5105 Avenue M,5,11234,40.621439,-73.925964,318,46,3218626,3078490001,680,BK1801
Completed (59),2/29/2016,7:00 PM,8:00 PM,RNY for Kids (KIDS),"Scouts, Be Prepared!",Staten Island,Scouts Meeting,136 Midland Ave,25,10306,40.579913,-74.106044,502,50,5051625,5035840047,11402,SI0202
Completed (59),2/29/2016,9:00 AM,11:15 AM,RNY for Kids (KIDS),Youth Preparedness,Queens,PS 58 Q,72-24 Grand Ave,1095,11378,40.728735,-73.890699,405,30,4607309,4028020001,49302,QN0501
Completed (59),3/1/2016,8:30 AM,9:30 AM,RNY General Presentation (GEN),RNY Presentation for Parents,Brooklyn,PS 95,345 Van Sicklen Street,20,11223,40.595698,-73.97518,315,44,3192661,3071230066,398,BK1501
Completed (59),3/1/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 54 Q,86-02 127 St,600,11418,40.70292,-73.824221,409,29,4193916,4092800001,14201,QN0902
Completed (59),3/1/2016,8:00 AM,11:00 AM,RNY for Kids (KIDS),Youth Preparedness,Staten Island,PS 60,55 Merrill Ave,420,10314,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204
Completed (59),3/2/2016,10:00 AM,1:00 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Bronx,Literacy Partners Bronx Location,880 River Ave,18,10452,40.828333,-73.925625,204,16,2002988,2024840009,195,BX0401
Completed (59),3/2/2016,1:30 PM,3:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Pentecostal House of Prayer,203 Nostrand Ave,50,11205,40.692172,-73.951914,303,36,3049232,3017700001,253,BK0301
Completed (59),3/3/2016,10:00 AM,11:59 AM,RNY General Presentation (GEN),Winter Storm Prep,Brooklyn,Eileen Douglas Senior Center,378 Court Street,27,11231,40.681371,-73.996391,306,39,3004823,3003510031,65,BK0601
Completed (59),3/3/2016,6:00 PM,7:30 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Queens,Richmond Hill High School,89-30 114th Street,20,11418,40.695888,-73.833681,409,29,4195688,4093210001,124,QN0902
Completed (59),3/3/2016,2:00 PM,6:00 PM,RNY Fair (FAIR),NYU Wagner 2016 Career Expo,Manhattan,NYU,"295 Lafayette St, 2nd Floor",50,10012,40.724537,-73.995761,102,1,1007941,1005107502,43,MN0201
Completed (59),3/4/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 214,2944 Pitkin Avenue,55,11208,40.676513,-73.863151,305,37,3095254,3042430001,1202,BK0505
Completed (59),3/5/2016,4:30 PM,5:30 PM,RNY General Presentation (GEN),7th Day Adventist Church,Brooklyn,7th Day Adventist Church,924 Rogers Ave,50,11226,40.647674,-73.952162,317,40,3117793,3051280054,794,BK1701
Completed (59),3/5/2016,9:00 AM,2:00 PM,RNY Fair/Presentation (FP),Parent Title 1 Fair,Bronx,PS/MS 59,3961 Hillman Ave,70,10463,40.882898,-73.891256,208,11,2015472,2032520182,281,BX0801
Completed (59),3/5/2016,11:00 AM,2:00 PM,RNY Fair (FAIR),NYPD Fair for people who are deaf and hard of hearing,Manhattan,Old Police Academy Gym,235 E 20 St,200,10003,40.736468,-73.983311,106,2,1019613,1009010006,64,MN0602
Completed (59),3/7/2016,9:00 AM,9:30 AM,RNY for Kids (KIDS),Ready NY for Pre-K,Queens,PS 90,86-50 109th Street,200,11418,40.697033,-73.839213,409,29,4192167,4092040028,128,QN0902
Completed (59),3/7/2016,9:30 AM,11:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Queens,PS 90,86-50 109th Street,600,11418,40.697033,-73.839213,409,29,4192167,4092040028,128,QN0902
Completed (59),3/7/2016,7:30 PM,9:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Restoration Temple,4610 Church Ave,250,11203,40.651565,-73.934053,317,45,3327773,3049000004,860,BK1703
Completed (59),3/8/2016,10:45 AM,12:59 PM,RNY General Presentation (GEN),Winter Storm Prep,Manhattan,CPC Project Open Door Senior Center,168 Grand Streeet,200,,,,,,,,,
Completed (59),3/8/2016,3:30 PM,4:30 PM,RNY General Presentation (GEN),General Preparedness,Brooklyn,PS 67 Charles Dorsey,51 Edward St,10,,,,,,,,,
Completed (59),3/9/2016,9:00 AM,11:00 AM,RNY General Presentation (GEN),RNY ESOL Students,Manhattan,Tenzer Learning Center,198 Forsythe,40,,,,,,,,,
Completed (59),3/10/2016,11:00 AM,12:59 PM,RNY General Presentation (GEN),Winter Storm Prep,Bronx,CCNS St Louis Senior Center,230 Kingston Avenue,5,,,,,,,,,
Completed (59),3/10/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Youth Preparedness,Manhattan,PS 84,32 West 92nd Street,570,10025,40.789526,-73.967574,107,6,1081042,1012050006,177,MN0702
Completed (59),3/10/2016,11:00 AM,2:30 PM,RNY Fair (FAIR),UCP of NYC's Family Connect Summit,Manhattan,New York Academy of Medicine,1215 5th Ave at 103rd St,200,10029,40.79181,-73.9529,111,8,1051491,1016080001,168,MN1101
Completed (59),3/11/2016,9:30 AM,1:00 PM,RNY General Presentation (GEN),RNY ESOL Presentation,Queens,Forest Hills High School,67-01 110th Street,400,11375,40.729402,-73.845637,406,29,4052143,4021890002,747,QN0602
Completed (59),3/11/2016,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 144,93-02 69th Avenue,600,11375,40.714978,-73.853372,406,29,4076870,4032120001,729,QN0602
Completed (59),3/12/2016,10:00 AM,12:00 PM,RNY General Presentation (GEN),Parent Meeting,Bronx,Celia Cruz Bronx High School of Music,2780 Reservoir Ave,23,10468,40.870293,-73.898309,207,11,2015241,2032470070,409,BX0702
Completed (59),3/12/2016,10:00 AM,3:00 PM,RNY Fair (FAIR),Child Care Resource Summer Camp Fair,Brooklyn,Child Development Support Corporation Office,352-358 Classon Avenue,100,11238,40.688478,-73.959936,302,35,3335008,3019480035,231,BK0204
Completed (59),3/14/2016,3:00 PM,4:00 PM,RNY General Presentation (GEN),PS 254Q,Queens,PS 254Q,84-40 101 St,100,11418,40.697961,-73.84796,409,29,4191296,4091770023,24,QN0902
